Time(min),Coverage(%),MSD(um2)
26.4001,0.0703335,1
26.5001,0.0704765,1
26.6001,0.0707626,1
26.7001,0.0710011,1
26.8001,0.0711918,2017
26.9001,0.0714779,1
27.0001,0.0716209,1
27.1001,0.0718594,1
27.2001,0.0720978,1
27.3001,0.0723362,1
27.4001,0.0724792,1
27.5001,0.0727654,1
27.6001,0.0730991,1
27.7001,0.0732899,1
27.8001,0.0735283,1
27.9001,0.073719,1
28.0001,0.0739574,1
28.1001,0.0741959,1
28.2001,0.0745296,1
28.3001,0.0747681,1
28.4001,0.0749588,1
28.5001,0.0751019,1
28.6001,0.075388,1
28.7001,0.075531,1
28.8001,0.0757217,1
28.9001,0.0759602,1
29.0001,0.0762463,1
29.1001,0.0765324,1
29.2001,0.0766754,1
29.3001,0.0769615,1
29.4001,0.0771523,1
29.5001,0.0772953,1
29.6001,0.0776291,1
29.7001,0.0779629,1
29.8001,0.078249,1
29.9001,0.0784874,1
30.0001,0.0787735,1
30.1001,0.0790119,1
30.2001,0.079298,1
30.3001,0.0796318,1
30.4001,0.0799656,1
30.5001,0.0802517,1
30.6001,0.0804424,1
30.7001,0.0806808,1
30.8001,0.0809669,1
30.9001,0.0812531,2017
31.0001,0.0814915,1
31.1001,0.0817776,1
31.2001,0.0819683,1
31.3001,0.0822067,1
31.4001,0.0823975,1
31.5001,0.0826359,2017
31.6001,0.082922,2017
31.7001,0.0832081,2017
31.8001,0.0835419,1
31.9001,0.0837803,1
32.0001,0.0840664,2017
32.1001,0.0842571,1
32.2001,0.0844479,1
32.3001,0.0846863,1
32.4001,0.0849724,2017
32.5001,0.0853062,1
32.6001,0.0855923,1
32.7001,0.085783,1
32.8001,0.0860691,1
32.9001,0.0862598,2017
33.0001,0.0864506,1
33.1001,0.0867844,1
33.2001,0.0870705,2017
33.3001,0.0873089,1
33.4001,0.0875473,1
33.5001,0.0878811,1
33.6001,0.0881672,1
33.7001,0.0884056,1
33.8001,0.0887394,2017
33.9001,0.0888824,2017
34.0001,0.0890255,1
34.1001,0.0891685,1
34.2001,0.0894547,1
34.3,0.0896931,1
34.4,0.0899315,1
34.5,0.0901699,1
34.6,0.0903606,1
34.7,0.0906467,4033
34.8,0.0909805,1
34.9,0.0913143,1
35,0.0916004,1
35.1,0.0918388,2017
35.2,0.0921249,2017
35.3,0.0923634,2017
35.4,0.0926971,1
35.5,0.0930309,1
35.6,0.0934124,4033
35.7,0.0936985,2017
35.8,0.0938892,1
35.9,0.0942707,1
36,0.0945568,1
36.1,0.0948429,1
36.2,0.095129,1
36.3,0.0954628,2017
36.4,0.0957966,1
36.5,0.0960827,2017
36.6,0.0964642,1
36.7,0.0968456,1
36.8,0.097084,1
36.9,0.0973225,1
37,0.0975132,2017
37.1,0.0976562,1
37.2,0.09799,1
37.3,0.0982761,1
37.4,0.0985622,1
37.5,0.0988483,1
37.6,0.0992298,1
37.7,0.0994682,1
37.8,0.0997543,1
37.9,0.0999928,1
38,0.100231,2017
38.1,0.100517,1
38.2,0.100851,1
38.3,0.101185,1
38.4,0.101566,1
38.5,0.101805,1
38.6,0.102139,2017
38.7,0.102377,1
38.8,0.102615,2017
38.9,0.102806,2017
39,0.102997,1
39.1,0.103331,1
39.2,0.103664,2017
39.3,0.103998,1
39.4,0.104284,1
39.5,0.104523,4033
39.6,0.104713,4033
39.7,0.105,1
39.8,0.105333,1
39.9,0.105619,1
40,0.105906,1
40.1,0.106144,1
40.2,0.106478,2017
40.3,0.106764,1
40.4,0.106955,1
40.5,0.107336,2017
40.6,0.10767,1
40.7,0.107956,1
40.7999,0.10829,1
40.8999,0.108576,1
40.9999,0.108862,1
41.0999,0.109196,2017
41.1999,0.109482,1
41.2999,0.109768,1
41.3999,0.110054,1
41.4999,0.11034,1
41.5999,0.110674,2017
41.6999,0.110865,2017
41.7999,0.111151,1
41.8999,0.111389,1
41.9999,0.111675,1
42.0999,0.111914,1
42.1999,0.112104,1
42.2999,0.112486,1
42.3999,0.112772,2017
42.4999,0.113058,2017
42.5999,0.113392,1
42.6999,0.11363,1
42.7999,0.113964,1
42.8999,0.11425,1
42.9999,0.114584,1
43.0999,0.114965,2017
43.1999,0.115252,1
43.2999,0.115442,1
43.3999,0.115633,1
43.4999,0.115967,1
43.5999,0.11611,1
43.6999,0.116396,1
43.7999,0.116682,1
43.8999,0.116825,1
43.9999,0.117016,1
44.0999,0.117302,1
44.1999,0.117445,1
44.2999,0.117683,1
44.3999,0.117922,1
44.4999,0.118208,1
44.5999,0.118542,2017
44.6999,0.118828,1
44.7999,0.119019,1
44.8999,0.119257,1
44.9999,0.119495,1
45.0999,0.119734,1
45.1999,0.119925,1
45.2999,0.120211,2017
45.3999,0.120401,2017
45.4999,0.120592,1
45.5999,0.120926,1
45.6999,0.121212,1
45.7999,0.12145,1
45.8999,0.121832,1
45.9999,0.122023,1
46.0999,0.122213,1
46.1999,0.122452,1
46.2999,0.122738,1
46.3999,0.123024,1
46.4999,0.12331,1
46.5999,0.123644,1
46.6999,0.123978,2017
46.7999,0.124216,1
46.8999,0.124454,1
46.9999,0.124693,1
47.0999,0.124931,1
47.1999,0.12517,2017
47.2999,0.125408,1
47.3998,0.125742,1
47.4998,0.125885,1
47.5998,0.126123,1
47.6998,0.126362,1
47.7998,0.1266,1
47.8998,0.126886,2017
47.9998,0.127125,1
48.0998,0.127316,2017
48.1998,0.127554,1
48.2998,0.12784,1
48.3998,0.128174,1
48.4998,0.128365,1
48.5998,0.128555,1
48.6998,0.128794,2017
48.7998,0.128889,1
48.8998,0.129128,2017
48.9998,0.129366,2017
49.0998,0.129557,1
49.1998,0.12989,1
49.2998,0.130081,1
49.3998,0.13032,1
49.4998,0.13051,1
49.5998,0.130653,1
49.6998,0.130749,1
49.7998,0.130939,1
49.8998,0.131226,1
49.9998,0.131464,1
50.0998,0.131655,1
50.1998,0.13175,1
